en,ml,pos,description
API,API,noun,
Archive,സംഭരണി,noun,
Attributes,വിശേഷണങ്ങള്‍,noun,
Block,ബ്ലോക്ക്,noun,
blog,ബ്ലോഗ്,noun,
breadcrumbs,"പരസ്പരബന്ധമുള്ള വിവരങ്ങളുടെ ശൃംഖല",noun,
Button,ബട്ടൺ,noun,
categories,വിഭാഗങ്ങള്‍,noun,
category,വിഭാഗം,noun,
Chevron,ഷെവ്റോൺ,noun,"Its a V shaped icon indicate direction. "
collaborative,കോളാബറേറ്റീവ്,noun,
collaborator,കോളാബറേറ്റർ,noun,
Collaborators,കോളാബറേറ്റേഴ്‌സ്,noun,
CSS,CSS,noun,
"custom field","കസ്റ്റം ഫീൽഡ്",noun,
Dashboard,ഡാഷ്ബോര്‍ഡ്,noun,
database,ഡാറ്റാബേസ്,noun,
Description,വിവരണം,noun,
disable,അസാധുവാക്കുക,noun,
Edit,തിരുത്തുക,noun,
email,ഇമെയില്‍,noun,
Flex,ഫ്ലെക്സ്,noun,
folder,ഫോള്‍ഡര്‍,noun,
Footnote,അടിക്കുറിപ്പ്,noun,
HTML,HTML,noun,
JavaScript,ജാവാസ്ക്രിപ്റ്റ്,noun,
junk,ജങ്ക്,noun,
junk,ജങ്ക്,noun,
library,ലൈബ്രറി,noun,
Login,പ്രവേശിക്കുക,verb,
Logo,ലോഗോ,noun,
Logout,പുറത്തുകടക്കുക,noun,
menu,മെനു,noun,
Object,ഒബ്ജക്റ്റ്,noun,
Options,തിരഞ്ഞെടുക്കല്‍,noun,
Overlay,ഓവർലേ,noun,
Page,പേജ്,noun,
palette,പാലറ്റ്,noun,
Password,രഹസ്യവാക്ക്,noun,
pattern,പാറ്റേൺ,noun,
PHP,PHP,noun,
post,പോസ്റ്റ്,noun,
Query,ക്വറി,noun,"SQL Query"
registration,രജിസ്ട്രേഷന്‍,noun,
REST,REST,noun,
RSS,RSS,noun,
Site,സൈറ്റ്,noun,
Slug,സ്ലഗ്,noun,
Sorry,ക്ഷമിക്കുക,noun,
spam,സ്പാം,noun,
tags,ടാഗുകള്‍,noun,
Taxonomies,ടാക്സോണമികൾ,noun,
taxonomy,ടാക്സോണമി,noun,
template," ടെമ്പ്ലേറ്റ്",noun,
theme,തീം,noun,
toolbar,ടൂൾബാർ,noun,
Update,പുതുക്കുക,noun,
Upload,അപ്‌ലോഡ്‌,noun,
User,ഉപയോക്താവ്,noun,
"User Name",ഉപയോക്തൃനാമം,noun,
Widget,വിഡ്ജറ്റ്,noun,
WordPress,വേഡ്പ്രസ്സ്,noun,
You,താങ്കള്‍,noun,
your,താങ്കളുടെ,noun,
